name,prompt,negative_prompt
Landscape,"{prompt}, birds in the sky, waterfall close shot 35 mm, realism, octane render, 8 k, exploration, cinematic, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo - realistic maximum detail, volumetric light, moody cinematic epic concept art, realistic matte painting, hyper photorealistic, epic, trending on artstation, movie concept art, cinematic composition, ultra - detailed, realistic",
Postapocalyptic,"{prompt}, fog, animals, birds, deer, bunny, postapocalyptic, overgrown with plant life and ivy, artgerm, yoshitaka amano, gothic interior, 8k, octane render, unreal engine",
Schematic,"23rd century scientific schematics for {prompt}, blueprint, hyperdetailed vector technical documents, callouts, legend, patent registry",
Space,"{prompt}, by Andrew McCarthy, Navaneeth Unnikrishnan, Manuel Dietrich, photo realistic, 8 k, cinematic lighting, hd, atmospheric, hyperdetailed, trending on artstation, deviantart, photography, glow effect",
Sprite,"sprite of video games {prompt} icons, 2d icons, rpg skills icons, world of warcraft, league of legends, ability icon, fantasy, potions, spells, objects, flowers, gems, swords, axe, hammer, fire, ice, arcane, shiny object, graphic design, high contrast, artstation",
Steampunk3,"{prompt}, steampunk cybernetic biomechanical, 3d model, very coherent symmetrical artwork, unreal engine realistic render, 8k, micro detail, intricate, elegant, highly detailed, centered, digital painting, artstation, smooth, sharp focus, illustration, artgerm, Caio Fantini, wlop",
Vehicles,"photograph of {prompt}, photorealistic, vivid, sharp focus, reflection, refraction, sunrays, very detailed, intricate, intense cinematic composition",
Crazy smiles2,"incredibly absurdres, upper body portrait, head tilted, demon eyes, ((constricted pupils)), crazy eyes, crazy smile, grinning, ( ahoge:1.2),
Cinematic,((((cinematic look))))",soothing tones
Hrist,"(dark theme:0.9), {prompt}, (hdr:1.22), muted colors, complex background, hyperrealism, hyperdetailed, amandine van ray",
Details+,",""(intricate details:0.9), (hdr, hyperdetailed:1.2)",
superpuperrealistic,"(dark shot:1.1), epic realistic, {promt}, faded, (neutral colors:1.2), (hdr:1.4), (muted colors:1.2), hyperdetailed, (artstation:1.4), cinematic, warm lights, dramatic light, (intricate details:1.1), complex background, (rutkowski:0.66), (teal and orange:0.4)",
Artstation1,"(Artstation:1.3), (intricate:1.1), (elegant:1.1), {prompt}, (highly detailed:1.2), (great eye detail:0.7), (glowing eyes:0.5), (digital painting:1.2), (smooth:1.1), (sharp focus:1.2), (illustration:1.1), (3d:0.9), (3d_bacground:0.9), 8 k","Watermark, Text, deformed, bad anatomy, poorly drawn face, extra limb, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers."
Cinematic3,"(Cinematic:1.1), (Film Grain:0.9), (Photography:1.0), (Telephoto:0.8), (8K:1.1), (ProPhoto RGB:0.8), {prompt}, (Cinematic Lighting:1.1), (Post-Production:1.0), (CGI:0.9), (beautiful eyes:1.0), (detailed eyes:1.1), 
(beautiful iris of the eye:1.2)","Watermark, Text, deformed, bad anatomy, poorly drawn face, extra limb, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers."
real_detailed,"super detail, high contrast shadows, hyperdetailed, RAW quality, cinematic, textures natural reflections, natural materials, cinematic lighting, intricate, insane details, detailed",
epic_realistic,"(epic realistic, intricate, detailed, intricate details, 8k, beautiful:1.2, incredible details:1.3, extremely high face details:1.3, hyper detailed:1.2, hyperrealism:1.2, best quality:1.2, best resolution:1.2, ultra high definition:1.2, best face detail:1.35, ultra clarity:1.1), high mouth detail, natural skin detail, sharp",
